description;address;neighborhood;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartº 120 m2, 4 quartos, 3 garagem, Aguas Claras - Brasília - DF;Alameda dos Eucaliptos Quadra 107;Norte;280;4;1;3;3;850000;846;1500;-
Apartamento para venda tem 73 metros quadrados com 2 quartos em Setor Noroeste - Brasília - DF;SQNW 307 Bloco H;Setor Noroeste;73;2;1;3;2;1200000;650;950;-
Apartamento Reformado 3 quartos com Suíte.;-;Asa Sul;1800;3;-;3;1;739000;741;-;-
Apartamento para venda com 68 metros quadrados com 2 quartos em Taguatinga Centro - Brasília - DF;C 3;Taguatinga Centro;-;3;1;2;1;360000;0;0;-
Vendo maravilhoso apartamento 2 Quartos Taguatinga Centro;C 1;Taguatinga Centro;60;2;0;1;1;275000;450;130;-
Vendo excelente apartamento de 1 quarto QN 412 Samambaia Norte - Brasília - DF;QN 412 Conjunto F;Samambaia Norte;30;1;1;1;1;130000;400;45;-
Apartamento 1 Quarto com vaga coberta e lazer completo, Resid Viver Melhor Samambaia;Quadra 301 Conjunto 1;Samambaia Sul;-;1;-;1;1;174900;350;0;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;QN 403 Conjunto A;Samambaia Norte;49;2;0;1;1;224000;485;700;-
Apartamento para venda possui 68 m² com 3 quartos em Samambaia Sul - Brasília - DF;Quadra 101 Conjunto 2;Samambaia Sul;-;3;1;2;1;420000;0;0;-
Vendo excelente apart 3 qts send 1 suite 2 vaga de garagem coberta cha 89 av principal de Árniqueira;SHA Conjunto 4 Chácara 89;Setor Habitacional Arniqueira;90;3;1;2;2;209000;0;1;-
Preço mais baixo da região, dentro do programa casa verde e amarela;QR 407 Conjunto 3;Samambaia Norte;55;1;0;1;1;175000;200;100;-
Apartamento para venda com 60 metros quadrados com 2 quartos em Sobradinho - Brasília - DF;Quadra 2 Conjunto A;Sobradinho;-;2;1;2;1;430000;380;450;-
Apartamento 02 qts Total Ville;Avenida Monumental;Setor Meireles;-;2;-;1;1;160000;0;0;-
Apartamento para Venda em Brasília, Norte (Águas Claras), 3 dormitórios, 1 suíte, 3 banheiros, 1 vag;Rua Alecrim;Norte;96;3;1;3;1;612000;650;1000;-
Vendo Apartamento com Excelente Localização em Ceilândia Norte - Brasília - DF;QNN 11;Ceilândia Norte;46;1;-;1;1;151000;360;217;-
Apartamento para venda com 78 m², 2 quartos, rico em planejados, com varanda, nascente alto.;Rua 4A;Setor Habitacional Vicente Pires;-;2;0;1;1;360000;250;650;-
Apartamento Ed. Diamond Residence, 03 quartos (1 suite), 106,88m2;Quadra 208;Sul;-;3;1;1;1;560000;923;228;-
ACEITA FINANCIAMENTO;QN 120 Conjunto 2;Samambaia Sul;-;2;0;1;1;220000;0;0;-
